2026-05-07 08:46:27.703 PRESENT  id=com.intellij.tasks version=253.30387.90
2026-05-07 08:46:27.705 PRESENT  id=com.intellij.tasks.timeTracking version=253.30387.90
2026-05-07 08:46:27.707 PRESENT  id=com.intellij.javaee.jpa version=253.30387.90
2026-05-07 08:46:27.709 PRESENT  id=com.intellij.javaee.jakarta.data version=253.30387.90
2026-05-07 08:46:27.710 PRESENT  id=com.intellij.spring.data version=253.30387.90
2026-05-07 08:46:27.714 PRESENT  id=com.intellij.javaee.reverseEngineering version=253.30387.90
2026-05-07 08:46:27.717 PRESENT  id=com.intellij.micronaut version=253.30387.90
2026-05-07 08:46:27.719 PRESENT  id=com.intellij.hibernate version=253.30387.90
2026-05-07 08:46:27.721 PRESENT  id=com.intellij.quarkus version=253.30387.90
2026-05-07 08:46:27.723 PRESENT  id=com.intellij.persistence version=253.30387.90
2026-05-07 08:46:27.724 PRESENT  id=intellij.jupyter version=253.30387.193
2026-05-07 08:46:27.726 PRESENT  id=org.jetbrains.plugins.kotlin.jupyter version=253.30387.90
2026-05-07 08:46:27.728 PRESENT  id=Docker version=253.30387.90
2026-05-07 08:46:27.729 PRESENT  id=tanvd.grazi version=253.30387.90
2026-05-07 08:46:27.730 PRESENT  id=com.intellij.compose version=253.30387.90
2026-05-07 08:46:27.733 PRESENT  id=com.intellij.plugins.eclipsekeymap version=253.30387.90
2026-05-07 08:46:27.736 PRESENT  id=Git4Idea version=253.30387.90
2026-05-07 08:46:27.739 PRESENT  id=org.jetbrains.plugins.gitlab version=253.30387.90
2026-05-07 08:46:27.741 PRESENT  id=com.intellij.settingsSync version=253.30387.90
2026-05-07 08:46:27.742 PRESENT  id=org.jetbrains.plugins.github version=253.30387.90
2026-05-07 08:46:27.744 PRESENT  id=org.jetbrains.plugins.remote-run version=253.30387.90
2026-05-07 08:46:27.745 PRESENT  id=org.jetbrains.idea.maven version=253.30387.90
2026-05-07 08:46:27.747 PRESENT  id=org.jetbrains.plugins.gradle version=253.30387.90
2026-05-07 08:46:27.748 PRESENT  id=intellij.webpack version=253.30387.90
2026-05-07 08:46:27.750 PRESENT  id=com.intellij.tailwindcss version=253.30387.90
2026-05-07 08:46:27.751 PRESENT  id=com.intellij.react version=253.30387.90
2026-05-07 08:46:27.753 PRESENT  id=com.intellij.stylelint version=253.30387.90
2026-05-07 08:46:27.754 PRESENT  id=intellij.vitejs version=253.30387.193
2026-05-07 08:46:27.756 PRESENT  id=NodeJS version=253.30387.90
2026-05-07 08:46:27.757 PRESENT  id=org.jetbrains.plugins.vue version=253.30387.90
2026-05-07 08:46:27.759 PRESENT  id=tslint version=253.30387.90
2026-05-07 08:46:27.760 PRESENT  id=org.jetbrains.plugins.node-remote-interpreter version=253.30387.90
2026-05-07 08:46:27.761 PRESENT  id=com.deadlock.scsyntax version=253.30387.90
2026-05-07 08:46:27.763 PRESENT  id=com.intellij.plugins.webcomponents version=253.30387.90
2026-05-07 08:46:27.765 PRESENT  id=intellij.prettierJS version=253.30387.90
2026-05-07 08:46:27.767 PRESENT  id=org.jgrasp version=1.0.11
2026-05-07 08:46:27.769 PRESENT  id=intellij.nextjs version=253.30387.90
2026-05-07 08:46:27.773 PRESENT  id=Karma version=253.30387.90
2026-05-07 08:46:27.775 PRESENT  id=JSIntentionPowerPack version=253.30387.90
2026-05-07 08:46:27.777 PRESENT  id=com.intellij.mcpServer version=253.30387.90
2026-05-07 08:46:27.780 PRESENT  id=PerforceDirectPlugin version=253.30387.90
2026-05-07 08:46:27.781 PRESENT  id=com.jetbrains.codeWithMe version=253.30387.90
2026-05-07 08:46:27.784 PRESENT  id=org.jetbrains.security.package-checker version=253.30387.90
2026-05-07 08:46:27.786 PRESENT  id=com.intellij.beanValidation version=253.30387.90
2026-05-07 08:46:27.788 PRESENT  id=org.jetbrains.plugins.docker.gateway version=253.30387.92
2026-05-07 08:46:27.790 PRESENT  id=com.intellij.spring.mvc version=253.30387.90
2026-05-07 08:46:27.792 PRESENT  id=com.jetbrains.php version=253.30387.20
2026-05-07 08:46:27.793 PRESENT  id=izhangzhihao.rainbow.brackets version=2025.3.7
2026-05-07 08:46:27.798 PRESENT  id=com.mallowigi version=104.0.0
2026-05-07 08:46:27.834 PRESENT  id=com.intellij.microservices.ui version=253.30387.90
2026-05-07 08:46:27.842 PRESENT  id=com.jetbrains.gateway version=253.30387.90
2026-05-07 08:46:27.855 PRESENT  id=com.jetbrains.performancePlugin.async version=253.30387.90
2026-05-07 08:46:27.856 PRESENT  id=AngularJS version=253.30387.90
2026-05-07 08:46:27.867 [CONTROLEX] start  id=es.iesclaradelrey.controlex version=1.9.0
2026-05-07 08:47:36.378 UNLOAD   id=es.iesclaradelrey.controlex name="Controlex" version=1.9.0
2026-05-07 08:47:37.941 [CONTROLEX] stop   id=es.iesclaradelrey.controlex version=1.9.0
2026-05-07 08:58:49.900 INSTALL  id=es.iesclaradelrey.controlex version=1.9.0
2026-05-07 08:58:49.911 [CONTROLEX] start  id=es.iesclaradelrey.controlex version=1.9.0
2026-05-07 09:00:43.051 UNLOAD   id=es.iesclaradelrey.controlex name="Controlex" version=1.9.0
2026-05-07 09:00:43.260 [CONTROLEX] stop   id=es.iesclaradelrey.controlex version=1.9.0
